3-2023_11_10
10:6:38 | RPC | CONNECT | 192.168.1.34 | 51250 | asd
10:6:49 | RPC | CONNECT | 192.168.1.34 | 51251 | asd
10:7:31 | RPC | CONNECT | 192.168.1.34 | 51254 | asd
10:9:6 | P | PROGRAM_ON | FDAS
10:9:9 | S | SERVER_START | 192.168.1.34 | 8000| FDAS
10:11:16 | RPC | CONNECT | 192.168.1.34 | 51262 | FDAS
10:11:31 | RPC | CONNECT | 192.168.1.34 | 51266 | FDAS
10:11:50 | RPC | CONNECT | 192.168.1.34 | 51268 | FDAS
10:14:2 | RPC | CONNECT | 192.168.1.34 | 51271 | FDAS
10:14:13 | RPC | CONNECT | 192.168.1.34 | 51272 | FDAS
10:15:5 | RPC | CONNECT | 192.168.1.34 | 51274 | FDAS
10:15:6 | RPC | CONNECT | 192.168.1.34 | 51275 | FDAS
10:15:34 | RPC | CONNECT | 192.168.1.34 | 51286 | FDAS
10:15:35 | RPC | CONNECT | 192.168.1.34 | 51287 | FDAS
10:18:17 | RPC | CONNECT | 192.168.1.34 | 51291 | FDAS
10:18:17 | RPC | CONNECT | 192.168.1.34 | 51292 | FDAS
10:19:1 | RPC | CONNECT | 192.168.1.34 | 51296 | FDAS
10:19:1 | RPC | CONNECT | 192.168.1.34 | 51297 | FDAS
10:19:58 | RPC | CONNECT | 192.168.1.34 | 51299 | FDAS
10:20:8 | RPC | CONNECT | 192.168.1.34 | 51300 | FDAS
10:20:8 | RPC | CONNECT | 192.168.1.34 | 51301 | FDAS
10:21:27 | RPC | CONNECT | 192.168.1.34 | 51316 | FDAS
10:21:27 | RPC | CONNECT | 192.168.1.34 | 51317 | FDAS
10:23:2 | RPC | CONNECT | 192.168.1.34 | 51325 | FDAS
10:23:14 | P | PROGRAM_ON | Lsada
10:23:18 | S | SERVER_START | 192.168.1.34 | 8000| Lsada
10:23:25 | RPC | CONNECT | 192.168.1.34 | 51327 | Lsada
10:23:25 | RPC | CONNECT | 192.168.1.34 | 51328 | Lsada
10:24:5 | RPC | CONNECT | 192.168.1.34 | 51334 | Lsada
10:24:25 | RPC | CONNECT | 192.168.1.34 | 51335 | Lsada
10:24:25 | RPC | CONNECT | 192.168.1.34 | 51336 | Lsada
10:31:17 | P | PROGRAM_ON | USER
10:31:54 | P | PROGRAM_ON | Nacho
10:31:57 | S | SERVER_START | 192.168.1.34 | 8000| Nacho
10:32:12 | RPC | CONNECTED_CLIENT | 192.168.1.34 | 51358 | Nacho(RPC) | Nacho
